param,row,col,value
w1,0,0,0.9287802022886423
w1,0,1,0.6428398174929322
w1,0,2,0.047060520494666136
w1,0,3,-0.9958571565291812
w1,0,4,0.3810248080663255
w1,0,5,0.42517085374672847
w1,1,0,-0.7475575763692922
w1,1,1,-0.3001244543813513
w1,1,2,0.34340689108239086
w1,1,3,0.3964645272224671
w1,1,4,-0.3148607000430672
w1,1,5,-1.4535310243960708
w1,2,0,-0.22344949506405676
w1,2,1,-0.04688163724165718
w1,2,2,-0.14412325583313063
w1,2,3,-0.41532316467671504
w1,2,4,-0.08211153360853096
w1,2,5,0.4546419349875201
w1,3,0,-1.1537146668790543
w1,3,1,-0.09396877408845095
w1,3,2,0.28125236954980576
w1,3,3,0.005861962452783837
w1,3,4,0.6395289832939902
w1,3,5,0.5887425794490442
w1,4,0,-0.38105344670132113
w1,4,1,0.46089117815196495
w1,4,2,-1.7653161286708907
w1,4,3,0.23982489928019363
w1,4,4,-0.4422406562794961
w1,4,5,-0.07958597285972814
w1,5,0,-0.6779299511306546
w1,5,1,0.816441599555607
w1,5,2,-0.8198729790453456
w1,5,3,-0.2504240313925024
w1,5,4,-0.019147308142009847
w1,5,5,0.92003965458369
w1,6,0,0.30454940802314595
w1,6,1,-0.160520073022314
w1,6,2,-0.5110449777281008
w1,6,3,-0.7519115384738255
w1,6,4,0.5777486918709073
w1,6,5,0.1236102252209503
w1,7,0,-0.8200082114491763
w1,7,1,0.17998568206859927
w1,7,2,0.02907152481130078
w1,7,3,0.8814681479304114
w1,7,4,-0.45100790737300767
w1,7,5,0.6127252045247478
w1,8,0,-0.7399921112403287
w1,8,1,0.42029558804641864
w1,8,2,0.9931687565159029
w1,8,3,0.23979175666350228
w1,8,4,-0.8467808306510684
w1,8,5,-1.2172269132220788
w1,9,0,-0.29647660849696084
w1,9,1,0.3860008097697394
w1,9,2,0.37226780149260047
w1,9,3,0.2638542863840536
w1,9,4,-0.2954471670316904
w1,9,5,-0.8819878917212831
w1,10,0,0.5511967686672938
w1,10,1,-0.11715414564473596
w1,10,2,-0.7280546857946054
w1,10,3,-0.421165699317289
w1,10,4,1.0558559155775764
w1,10,5,-0.9088007971206916
w1,11,0,0.31160963175394985
w1,11,1,0.39252368639760377
w1,11,2,0.07279517391754746
w1,11,3,0.035084027787128644
w1,11,4,0.3909729753405761
w1,11,5,-0.7217944337687284
w1,12,0,0.03822045700778816
w1,12,1,0.0496360948426315
w1,12,2,0.9624593341553273
w1,12,3,0.27511204385316806
w1,12,4,0.09025168563959464
w1,12,5,-0.6127458088391127
w1,13,0,0.06466216960255378
w1,13,1,0.2665779704437752
w1,13,2,1.301687349687793
w1,13,3,-0.27413660738921053
w1,13,4,-0.159432369180928
w1,13,5,-0.5402921329836651
w1,14,0,0.025526264975708465
w1,14,1,0.32029224645363547
w1,14,2,0.3148838350122635
w1,14,3,0.040424382524099495
w1,14,4,0.6302492391222897
w1,14,5,0.9084106278431079
w1,15,0,1.1413710148174627
w1,15,1,-0.43634140430548196
w1,15,2,-0.42054694993842373
w1,15,3,0.44975009060643784
w1,15,4,0.3265226433689942
w1,15,5,0.4556023192398684
w1,16,0,-0.6913083545086448
w1,16,1,0.13223324073141973
w1,16,2,0.19868578178661114
w1,16,3,0.3342554512755422
w1,16,4,0.9713613295333766
w1,16,5,0.2596096765487388
w1,17,0,-1.0215945540880975
w1,17,1,-0.7843891390388993
w1,17,2,0.6782502199791374
w1,17,3,-0.4156575105956888
w1,17,4,0.7191553206223802
w1,17,5,0.8540552894603872
w1,18,0,1.388251795761198
w1,18,1,1.0887302636915999
w1,18,2,-0.4886905596497036
w1,18,3,0.22225200244694296
w1,18,4,0.09412775145515137
w1,18,5,-0.7381326210545319
w1,19,0,1.053259695526095
w1,19,1,-0.6626841074498471
w1,19,2,0.07300664135092162
w1,19,3,-0.13254515311392484
w1,19,4,-0.2906304416064736
w1,19,5,-0.5457674516180143
w1,20,0,-0.1841838192281991
w1,20,1,-0.13440407141072164
